;id;operator
311;311252842;
312;311319045;Migrol
313;311976893;Moveri
314;312012092;Migrol
315;312365830;Shell
316;312468153;Tamoil
317;312630282;
318;313192016;Landi
319;313268393;Shell (Switzerland)
320;313783389;
321;315513529;Avia
322;315538029;
323;315538104;Gebrüder Knecht
324;315599575;
325;316022671;
326;316022885;
327;316080571;
328;316878199;
329;317022081;Agrola
330;317038642;Juragarage-Peter
331;317044955;Coop Mineraloel AG
332;317044957;Shell (Switzerland)
333;317044958;BP
334;317045478;
335;317828998;BP
336;317829000;
337;317829065;
338;318306689;BP
339;318410355;Migrol
340;318647877;BP
341;319114593;BP
342;319463995;
343;319504511;Tamoil
344;320040835;Coop Mineraloel
345;320040876;Ruedi Rüssel
346;320182673;Migrol
347;321271634;
348;321362564;
349;321679040;Socar
350;321853683;
351;321854756;Avia
352;321855166;
353;322009546;
354;322061464;Agip
355;322913188;
356;323236561;Avia
357;324343384;
358;324648649;Migrol
359;325054969;
360;325787263;
361;325851832;
362;327282170;Migrol
363;327446985;
364;328060238;
365;330142805;BP
366;331317250;Migrol
367;331337817;
368;331589251;
369;333739192;
370;333771406;Coop Mineraloel
371;334002482;Coop
372;334005113;
373;335477010;
374;335958350;SOCAR Energy Switzerland
375;336019729;Coop Mineraloel
376;336601485;
377;338639819;Avia Osterwalder Zürich
378;339612237;
379;339612238;
380;339631367;H.P. Breitschmid
381;339631500;Automobile Reichenbach
382;339957313;Avia
383;340321987;BP
384;340381113;Migrol
385;341961288;
386;343087168;Migrol
387;344194669;Shell (Switzerland)
388;344522057;Auto Pfister AG
389;345154356;Agip
390;345328505;
391;345519391;
392;346269257;Landi
393;346365679;
394;346406523;AVIA
395;347351831;Agip
396;347672312;BP
397;349171294;Shell
398;349196976;Agrola
399;351947075;
400;351947126;
401;351947210;
402;351947522;
403;351961987;Shell
404;352786909;Tamoil
405;353011599;SOCAR Energy Switzerland
406;353452474;BP
407;353452484;Shell
408;353452488;AVIA
409;354407155;BP
410;354548408;Tamoil
411;354593878;Eni
412;354593932;
413;354633686;Coop
414;354695628;
415;354850051;
416;354850309;
417;354850557;
418;355232174;Avia
419;355357953;
420;356029176;
421;356056801;Migrol
422;356056962;Agrola
423;357231393;MIGROL
424;357231546;
425;357276942;Esso
426;357276951;BP
427;357276994;
428;357286346;
429;357299631;Socar
430;357299672;Shell
431;357299691;
432;357299708;BP
433;357312943;
434;357329286;BP
435;357561863;
436;360435741;Agip
437;362795202;
438;362798141;Avia Osterwalder Zürich
439;363884758;
440;363928734;Eurocenter
441;363928741;Eurocenter
442;363928771;Migrol
443;364148994;
444;364779474;Ruedi Rüssel
445;364805890;
446;364961808;
447;364961811;Shell
448;364961818;Avia
449;365933996;Coop Mineraloel
450;366112327;Migrol
451;366590214;Avia
452;366785529;
453;367085722;Shell
454;367851970;Shell
455;367994870;
456;368286682;Migrol
457;368594195;Migrol
458;369574530;Coop
459;370163795;Les Charmettes
460;370171159;Miniprix
461;370171694;
462;370171946;
463;370319481;
464;370382413;Shell
465;370410554;
466;370440105;Shell
467;370573101;
468;370661427;Migrol
469;370661435;Migrol
470;370683552;
471;370683555;
472;370746834;Avia Osterwalder Zürich
473;370811535;
474;370940073;
475;371009114;Migrol
476;371216706;Migrol
477;371407454;
478;371739009;
479;372813112;
480;372974864;
481;373004907;Tamoil
482;373280989;
483;373457098;
484;373461342;Tamoil
485;373802828;
486;374188679;
487;374570733;Haenggi Brennstoffe AG
488;375944474;
489;377012210;Migrol
490;377078146;
491;378210954;Combusta
492;378854352;
493;378876538;
494;379083000;
495;379559846;Shell
496;379559862;
497;379583597;Avia
498;382447070;
499;383176619;
500;384800467;Combusta
501;385677191;
502;385677192;
503;385677199;
504;387439306;
505;388110913;Coop Mineraloel
506;388120351;
507;388172758;Garage Hürlimann
508;389611796;Tamoil
509;390009439;Brechtbühl
510;391376413;
511;391448263;
512;392016059;Avia
513;394819519;Avia
514;394822057;
515;399464701;
516;400879398;Eni
517;401610876;Avia
518;407913989;BP Service
519;408430808;
520;409482527;
521;409708659;Avia
522;410652571;
523;410724179;Tamoil
524;410724759;Tamoil
525;410725357;BP
526;410725587;Tamoil
527;410844750;
528;410849153;Shell
529;411002426;Tamoil
530;411567767;
531;411872585;
532;412098237;Coop Mineraloel
533;412723837;Esso
534;412739768;
535;412772914;
536;412775821;
537;412779720;AGROLA
538;412780674;
539;413332243;
540;413482557;
541;414665937;Tamoil
542;415651478;
543;418006104;
544;418016506;Agip
545;418028689;AGIP
546;418190212;
547;418361738;
548;418364681;Migrol
549;418364926;
550;418952812;Shell
551;419793549;
552;419877172;
553;420347109;
554;420437934;Shell
555;420580644;BP
556;421941395;Agrola
557;421981859;Coop Mineraloel AG
558;423352403;
559;427921820;
560;428467234;
561;428720432;Mini-Prix
562;428876091;
563;428933773;
564;429161254;
565;429360387;
566;429658553;
567;430264022;Hänggi Brennstoffe AG
568;430399623;Kessler Betriebe AG
569;430444348;
570;430460537;
571;430480451;
572;430829372;BP
573;430829373;Hänggi Brennstoffe AG
574;430842487;Peter Brechtbühl AG
575;430905343;Migrol
576;431206375;Eni
577;432296457;
578;432296458;
579;432615367;Garage Sulzer
580;433463274;Esso
581;433569065;
582;435573454;Coop Mineraloel
583;438227914;
584;439704540;
585;440817437;
586;440817438;LANDI Oberrheintal Genossenschaft
587;440848081;
588;440891382;BP
589;441134960;
590;441595897;BP
591;441890755;
592;442497825;
593;442529871;
594;442592745;
595;442642800;Coop
596;442642801;BP
597;442642802;
598;442642803;redfoxoil GmbH
599;442661254;Migrol
600;443006443;
601;443886188;
602;444007678;Coop Mineraloel
603;444292241;
604;444888965;oeltrans
605;447307830;Socar
606;447307833;Shell
607;448165771;
608;448167734;
609;448294810;Agip
610;448548898;Tamoil
611;448941789;Shell
612;449186802;
613;450602355;Shell
614;450602362;Migrol
615;450602365;Shell
616;450602370;Tamoil
617;450651181;
618;450939177;Coop Mineraloel
619;454092350;Tamoil
620;454582491;Landi
621;454582502;
622;455338428;BP
623;456381234;
624;457333487;Avia
625;457679934;
626;459174387;Coop Mineraloel
627;460886548;
628;461141504;
629;461145223;
630;461616874;
631;461764800;Migrol
632;467092484;
633;467136838;
634;469414029;BP
635;470530851;bp
636;471127240;Esso
637;472703202;
638;474405088;Garage Bandieri
639;474732274;
640;474764443;
641;474982856;A.H. Meyer & Cie
642;475204226;Esso
643;475921797;Shop and More AG
644;476032346;Shell
645;477074193;Tamoil
646;477406986;
647;480320550;Avia Osterwalder Zürich
648;482113363;
649;482156451;
650;482159115;
651;482161521;
652;482163882;
653;482164256;
654;482693687;Agip
655;486059774;Shell
656;486060424;
657;488053482;Restoshop S.A.
658;492088256;
659;492088403;
660;492088728;
661;492090571;
662;492090693;
663;495554607;
664;495554609;Coop Mineraloel
665;495750394;Coop Pronto
666;497240616;
667;497784329;SOCAR Energy Switzerland
668;499595107;
669;503445080;
670;503621496;SOCAR Energy Switzerland
671;505816846;
672;506123910;
673;506655898;Avia
674;506878648;Avia
675;514558190;Migrol
676;514598842;Avia
677;519720101;Avec
678;526689408;TCS
679;526993017;
680;533864350;Shell (Switzerland)
681;533864890;
682;534826542;Migrol
683;534836242;
684;536852872;AVIA
685;538469861;Agrola
686;539543939;
687;539553039;Shell
688;540595237;
689;540750897;
690;542360398;Avia
691;542416037;Avia Osterwalder Zürich
692;546863964;Tamoil
693;549072799;Avia
694;550238619;
695;551693548;Herr Bieri
696;559179878;
697;559179881;
698;559179882;Migrol
699;559763141;Agrola
700;559767599;
